	a11	a12	a13	a21	a22	a23	a31	a32	a33	b11	b12	b13	b21	b22	b23	b31	b32	b33	c11	c12	c13	c21	c22	c23	c31	c32	c33
1	1.0	0.0	0.0	0.816999632951	1.0	0.0	0.00739342457134	0.0	0.0	1.0	0.0	0.0	0.249593623827	1.0	0.0207645115621	0.0532221697866	0.000471920717319	0.0	1.0	0.0	0.0	0.91861989408	1.0	0.0	0.00739342457134	0.00739342457134	0.0
2	1.0	0.0	0.0	0.191599811232	0.0	1.0	0.188978029469	0.0	0.032352786954	0.00739342457134	0.00739342457134	1.0	0.0	0.0	0.4995542971	0.115305961932	1.0	0.803261496513	0.0	0.0	0.0	0.917990666457	1.0	0.0	1.0	0.00739342457134	0.0
3	0.175606942478	1.0	0.796025378847	0.0	0.00739342457134	0.0	0.00120601961093	0.00739342457134	1.0	0.0	0.0	0.0	0.0436788841697	0.0436788841697	1.0	1.0	0.0127942950029	0.0	0.00739342457134	0.0	1.0	0.0207645115621	0.0	0.0207645115621	1.0	0.0	0.783493262021
4	0.0	0.0	0.0	0.626396098789	1.0	0.126841801688	1.0	0.0	0.0	1.0	0.0	0.0	0.310890881443	0.00739342457134	1.0	0.00120601961093	0.0	0.0	0.00739342457134	0.0	1.0	0.0	0.0207645115621	0.0	0.00739342457134	1.0	0.937286980232
5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91861989408	1.0	0.917990666457	0.175606942478	0.183000367049	0.4995542971	0.0896649362907	0.808400188768	0.764826175869	0.0	0.0	0.0	1.0	1.0	0.0	0.00739342457134	0.00739342457134	0.0
6	0.249593623827	1.0	0.0	0.0739866813486	0.0739866813486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0281579361334	0.971842063867	0.0132662157202	0.0	1.0	0.0	0.18321010959	0.0	0.0	0.0	0.0436788841697	0.0	0.0155733836715
7	0.75287085103	1.0	0.000262178176289	0.745477426459	0.91861989408	0.0	0.153007183682	0.27984898537	0.00314613811546	0.0	0.0	0.0	0.0	1.0	0.0207645115621	0.0207645115621	0.000471920717319	0.0	1.0	0.0	0.139950710503	1.0	0.0	0.294373656337	0.0	0.0	0.0
8	0.175606942478	1.0	1.0	0.0	0.047401814273	0.316396623145	0.0	0.00739342457134	0.00739342457134	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0127942950029	0.0	1.0	0.184783178648	0.796025378847	0.0310418960726	0.0340307272823	0.0	0.920088091867	0.0645482670023	0.767919878349
9	0.196738503487	0.000471920717319	1.0	0.153164490588	0.0	0.917990666457	0.143621204971	0.0	0.396360966913	0.0	0.0	0.0	0.0	0.000314613811546	0.0	0.0	1.0	0.0	0.0127942950029	0.000471920717319	0.00256934612763	1.0	0.0	0.231241151487	0.877667662944	0.0	0.115410833202
10	0.803261496513	0.0	1.0	0.0384353206439	0.0	0.0820093335431	0.0396413402548	0.0	0.982224319648	0.0	0.0	0.0	0.0281055004981	0.0281055004981	0.796025378847	0.216506737979	0.992606575429	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
