Dir	Valid	Unique	Doubles	Singles
23x2+46x+4y6+y5+9y4+9y3+2z32+z28	1	1	1	0
24x2+45x+3y6+4y5+7y4+9y3+z33+2z30	3	3	3	0
24x2+45x+4y6+2y5+8y4+9y3+z32+z31+z30	4	4	4	0
25x2+44x+3y6+4y5+8y4+8y3+z33+z31+z30	3	3	3	0
25x2+44x+3y6+4y5+8y4+8y3+z34+2z30	3	3	3	0
2x3+20x2+47x+4y6+4y5+4y4+11y3+z33+z31+z29	1	1	1	0
2x3+20x2+47x+4y6+4y5+4y4+11y3+z34+z30+z29	3	3	3	0
2x3+20x2+47x+5y6+2y5+5y4+11y3+z33+2z30	2	2	2	0
2x3+21x2+46x+4y6+4y5+5y4+10y3+z32+2z31	1	1	1	0
2x3+21x2+46x+4y6+4y5+5y4+10y3+z33+z32+z29	1	1	1	0
2x3+21x2+46x+5y6+2y5+6y4+10y3+2z32+z30	1	1	1	0
2x3+22x2+45x+4y6+4y5+6y4+9y3+2z32+z31	2	2	2	0
2x3+22x2+45x+4y6+4y5+6y4+9y3+z33+2z31	1	1	1	0
2x3+22x2+45x+5y6+2y5+7y4+9y3+2z32+z31	1	1	1	0
2x3+23x2+44x+4y6+4y5+7y4+8y3+z33+z32+z31	2	2	2	0
2x3+23x2+44x+4y6+5y5+5y4+9y3+z34+2z31	1	1	1	0
2x3+24x2+43x+4y6+4y5+8y4+7y3+z33+2z32	3	3	3	0
2x3+25x2+42x+4y6+5y5+7y4+7y3+z34+2z32	1	1	1	0
3x3+16x2+50x+4y6+4y5+2y4+13y3+2z31+z29	16	16	16	15
3x3+17x2+49x+4y6+4y5+3y4+12y3+2z31+z30	42	42	42	41
3x3+17x2+49x+4y6+4y5+3y4+12y3+z32+z31+z29	11	11	11	10
3x3+18x2+48x+4y6+4y5+4y4+11y3+3z31	30	30	30	28
3x3+18x2+48x+4y6+4y5+4y4+11y3+z32+z31+z30	71	71	71	67
3x3+18x2+48x+4y6+5y5+2y4+12y3+z32+z31+z30	1	1	1	1
3x3+19x2+47x+4y6+4y5+5y4+10y3+2z32+z30	9	9	9	9
3x3+19x2+47x+4y6+4y5+5y4+10y3+z32+2z31	126	126	126	122
3x3+19x2+47x+4y6+4y5+5y4+10y3+z33+z31+z30	9	9	9	6
3x3+20x2+46x+4y6+4y5+6y4+9y3+2z32+z31	74	74	74	71
3x3+20x2+46x+4y6+4y5+6y4+9y3+z33+2z31	28	28	28	25
3x3+20x2+46x+4y6+5y5+4y4+10y3+z33+2z31	1	1	1	1
3x3+21x2+45x+4y6+4y5+7y4+8y3+3z32	34	34	34	34
3x3+21x2+45x+4y6+4y5+7y4+8y3+z33+z32+z31	34	34	34	34
3x3+22x2+44x+4y6+4y5+8y4+7y3+2z33+z31	16	16	16	16
3x3+22x2+44x+4y6+4y5+8y4+7y3+z33+2z32	15	15	15	15
4x3+18x2+47x+4y6+5y5+4y4+10y3+2z32+z31	2	2	2	2
4x3+19x2+46x+4y6+5y5+5y4+9y3+3z32	2	2	2	2
4x3+19x2+46x+4y6+5y5+5y4+9y3+z33+z32+z31	2	2	2	2
4x3+19x2+46x+4y6+6y5+3y4+10y3+3z32	1	1	1	1
4x3+20x2+45x+4y6+5y5+6y4+8y3+z33+2z32	5	5	5	5
4x3+21x2+44x+4y6+5y5+7y4+7y3+2z33+z32	1	1	1	1
4x3+21x2+44x+4y6+6y5+5y4+8y3+z34+2z32	2	2	2	2
classic	4	2	2	1
courtois.poly	0	0	0	0
extract.py	0	0	0	0
extract.py~	0	0	0	0
laderman.poly	0	0	0	0
oh.poly	0	0	0	0
schemes.html	0	0	0	0
smirnov.poly	0	0	0	0
strassen.poly	0	0	0	0
x3+16x2+52x+4y6+2y5+2y4+15y3+z31+z29+z27	8	8	8	2
x3+16x2+52x+4y6+y5+4y4+14y3+2z30+z27	1	1	1	1
x3+16x2+52x+4y6+y5+4y4+14y3+z31+2z28	1	1	1	0
x3+17x2+51x+4y6+2y5+3y4+14y3+z31+z29+z28	36	36	36	19
x3+17x2+51x+4y6+2y5+3y4+14y3+z32+z29+z27	4	4	4	1
x3+17x2+51x+4y6+y5+5y4+13y3+2z30+z28	1	1	1	1
