Hash	Adds	K Hash	Path
M0888cf7fc1	86	K98c04fba6b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w211c238h-000.exp
M2fd378ebed	84	Kcf4f9b0683	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w211c247g-001.exp
M5bfec386e9	87	K559946bfc2	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w211c247g-002.exp
M05852b9035	86	K5ed6be0d41	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w215c28aj-000.exp
M6e1df78142	89	K45911591b5	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w215c356e-000.exp
M7752c5f954	89	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w215c48ae-000.exp
Mc92fc6bbc7	89	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w215c48ae-003.exp
Mde6565bb84	88	Kcf4f9b0683	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w217c34ef-000.exp
Mfbc72c88da	88	Kcf4f9b0683	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w219c247g-000.exp
M9ebd166817	91	K12fc70e8df	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w219c367g-000.exp
M89a5450ed1	91	K98c04fba6b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w223c238h-000.exp
Mcfa08a9067	89	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w223c48ae-002.exp
Mc0225a533f	95	K559946bfc2	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w233c247g-000.exp
M55baae8dd7	95	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z30+z29+z27/i10w235c238h-000.exp
M054da82c84	85	K4831b95bcd	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z31+z28+z27/i11w215c236f-000.exp
M0bc72d8341	86	K98c04fba6b	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z31+z28+z27/i11w217c49ai-000.exp
M7abee65551	89	K4831b95bcd	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z31+z28+z27/i11w221c26fi-000.exp
M957f6891d0	90	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+5y4+14y3+z31+z28+z27/i11w223c48ae-000.exp
Ma7647098fd	97	Kac65f87215	mm-solutions/heule-canonical/17x2+52x+4y6+y5+3y4+15y3+2z29+z28/i13w243c48ae-000.exp
M377b20a74c	81	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w193c48ae-000.exp
Ma0c2b63c1c	82	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w195c48ae-000.exp
Me9710a26e9	82	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w197c238h-000.exp
Md7441feef5	80	K45911591b5	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w197c48ah-000.exp
M6814e3d3ae	81	Kdafda2915b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w199c349i-000.exp
Mc7dc8ba28f	83	Kdafda2915b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w199c34dj-000.exp
M02b3563f0f	82	K3046dd5133	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w201c346f-000.exp
M179d6f6f93	85	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w201c48ae-000.exp
M7210686621	86	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w203c48ae-000.exp
M2e5f655b46	84	K559946bfc2	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w205c235e-000.exp
M8f664faf6f	84	Kcf4f9b0683	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w205c248h-000.exp
Mc8c850492d	86	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w205c48ae-000.exp
Mff1a504269	87	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w207c48ae-000.exp
Mff5b5ad9b6	86	Kcf4f9b0683	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w209c235e-000.exp
Mb9d6306268	86	K4831b95bcd	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w209c236f-000.exp
